question,true_label
"apa saja syarat wajib zakat?","BAZNAS"
"bagaimana cara menghitung zakat profesi?","BAZNAS"
"jelaskan tentang program Z-Mart BAZNAS","BAZNAS"
"berapa besaran fidyah untuk satu hari tidak puasa?","BAZNAS"
"siapa saja 8 asnaf yang berhak menerima zakat?","BAZNAS"
"apa dasar hukum pengelolaan zakat di Indonesia?","BAZNAS"
"bagaimana cara mendaftar menjadi amil zakat?","BAZNAS"
"apa perbedaan antara zakat, infaq, dan sedekah?","BAZNAS"
"laporan keuangan BAZNAS tahun 2023 bisa diakses di mana?","BAZNAS"
"apa itu nisab dan haul dalam konteks zakat?","BAZNAS"
"jelaskan program beasiswa BAZNAS untuk mahasiswa","BAZNAS"
"bagaimana cara membayar zakat fitrah secara online?","BAZNAS"
"apa saja jenis harta yang wajib dizakati?","BAZNAS"
"bagaimana penyaluran dana zakat untuk korban bencana alam?","BAZNAS"
"apa peran BAZNAS dalam pengentasan kemiskinan?","BAZNAS"
"bagaimana cara menghitung zakat emas yang disimpan selama setahun?","BAZNAS"
"apa saja kriteria mustahik yang dibantu oleh BAZNAS?","BAZNAS"
"jelaskan tentang program Rumah Sehat BAZNAS","BAZNAS"
"apakah BAZNAS memiliki program untuk UMKM?","BAZNAS"
"bagaimana cara mendapatkan sertifikasi sebagai Lembaga Amil Zakat?","BAZNAS"
"apa visi dan misi Badan Amil Zakat Nasional?","BAZNAS"
"bagaimana perhitungan zakat saham?","BAZNAS"
"apa saja tugas dan wewenang seorang amil zakat?","BAZNAS"
"jelaskan tentang fatwa MUI mengenai zakat penghasilan","BAZNAS"
"bagaimana BAZNAS memastikan transparansi pengelolaan dana?","BAZNAS"
"apa itu program Z-Chicken?","BAZNAS"
"bagaimana cara menghitung zakat pertanian?","BAZNAS"
"apa saja dokumen yang diperlukan untuk mengajukan bantuan ke BAZNAS?","BAZNAS"
"jelaskan tentang program pemberdayaan ekonomi mustahik","BAZNAS"
"apakah dana zakat boleh digunakan untuk pembangunan infrastruktur?","BAZNAS"
"bagaimana cara melaporkan SPT dan menyertakan bukti bayar zakat?","BAZNAS"
"apa saja tantangan dalam pengelolaan zakat di era digital?","BAZNAS"
